	Index	Sequence	Path_Delay	Logic_Delay	Net_Delay	Logic_to_Net_Ratio	Slice_LUTs	LUTs_as_Memory	LUTs_as_Logic	RegsFF	RegsLatch	ABC_Delay	ABC_Area	Benchmark	Previous	Final_Pass	Improvement
0	0	['&dc2']	22.488000000000003	4.843(22%)	17.645(78%)	22.0	7553.0	0.0	7553.0	2784.0	0.0	2877.0	7466.0	armcore	[]	&dc2	2.1239999999999952
1	1	['&syn2']	21.281999999999996	4.719(23%)	16.563(77%)	23.0	7286.0	0.0	7286.0	2784.0	0.0	2414.0	7234.0	armcore	[]	&syn2	3.330000000000002
2	2	['&dch']	26.351999999999997	5.711(22%)	20.641(78%)	22.0	7335.0	0.0	7335.0	2784.0	0.0	2876.0	7390.0	armcore	[]	&dch	-1.7399999999999984
3	3	['&syn3', '&if -W 300 -x -K 6']	21.454	4.719(22%)	16.735(78%)	22.0	7246.0	0.0	7246.0	2784.0	0.0	2414.0	7205.0	armcore	['&syn3']	&if -W 300 -x -K 6	3.1579999999999977
4	4	['&if -W 300 -x -K 6', '&dc2', '&b']	21.748	4.719(22%)	17.029(78%)	22.0	7534.0	0.0	7534.0	2784.0	0.0	2414.0	7457.0	armcore	['&if -W 300 -x -K 6', '&dc2']	&b	0.9479999999999968
5	5	['&if -W 300 -g -K 6', '&dc2', '&b']	25.503	5.463(22%)	20.040(78%)	22.0	7443.0	0.0	7443.0	2784.0	0.0	2414.0	7369.0	armcore	['&if -W 300 -g -K 6', '&dc2']	&b	-0.8290000000000006
6	6	['&if -W 300 -y -K 6', '&dc2', '&b']	21.735	4.719(22%)	17.016(78%)	22.0	7422.0	0.0	7422.0	2784.0	0.0	2414.0	7369.0	armcore	['&if -W 300 -y -K 6', '&dc2']	&b	2.1750000000000007
7	7	['&synch2', '&dc2', '&b']	20.923000000000002	4.582(22%)	16.341(78%)	22.0	7449.0	0.0	7449.0	2784.0	0.0	2877.0	7374.0	armcore	['&synch2', '&dc2']	&b	0.002999999999996561
8	8	['&dch', '&dc2', '&b']	23.435	5.091(22%)	18.344(78%)	22.0	7352.0	0.0	7352.0	2784.0	0.0	2881.0	7279.0	armcore	['&dch', '&dc2']	&b	0.19699999999999918
9	9	['&dch -f', '&dc2', '&b']	22.903000000000002	4.967(22%)	17.936(78%)	22.0	7407.0	0.0	7407.0	2784.0	0.0	2879.0	7335.0	armcore	['&dch -f', '&dc2']	&b	-1.9520000000000017
10	10	['&if -W 300 -K 6 -v', '&mfs', '&st', '&dc2', '&b']	19.262	4.223(22%)	15.039(78%)	22.0	7334.0	0.0	7334.0	2784.0	0.0	2878.0	7281.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&dc2']	&b	0.3539999999999992
11	11	['&if -W 300 -K 6 -v', '&st', '&dc2', '&b']	20.258	4.699(24%)	15.559(76%)	24.0	7372.0	0.0	7372.0	2784.0	0.0	2876.0	7306.0	armcore	['&if -W 300 -K 6 -v', '&st', '&dc2']	&b	0.3089999999999975
12	12	['&dc2', '&syn2', '&b']	21.02	4.595(22%)	16.425(78%)	22.0	7336.0	0.0	7336.0	2784.0	0.0	2414.0	7296.0	armcore	['&dc2', '&syn2']	&b	0.0
13	13	['&syn2', '&syn2', '&b']	20.616999999999997	4.471(22%)	16.146(78%)	22.0	7280.0	0.0	7280.0	2784.0	0.0	2414.0	7231.0	armcore	['&syn2', '&syn2']	&b	0.6940000000000026
14	14	['&syn4', '&if -W 300 -x -K 6']	18.955	4.419(24%)	14.536(76%)	24.0	7776.0	0.0	7776.0	2784.0	0.0	2414.0	7737.0	armcore	['&syn4']	&if -W 300 -x -K 6	5.657
15	15	['&syn3', '&syn2', '&b']	20.569000000000003	4.471(22%)	16.098(78%)	22.0	7264.0	0.0	7264.0	2784.0	0.0	2414.0	7243.0	armcore	['&syn3', '&syn2']	&b	-0.6020000000000039
16	16	['&syn4', '&syn2', '&b']	18.730999999999998	4.099(22%)	14.632(78%)	22.0	7645.0	0.0	7645.0	2784.0	0.0	2414.0	7590.0	armcore	['&syn4', '&syn2']	&b	0.46199999999999974
17	17	['&b', '&syn2', '&b']	23.878	5.215(22%)	18.663(78%)	22.0	7317.0	0.0	7317.0	2784.0	0.0	2414.0	7258.0	armcore	['&b', '&syn2']	&b	1.1139999999999972
18	18	['&b -d', '&syn2', '&b']	20.976	4.595(22%)	16.381(78%)	22.0	7298.0	0.0	7298.0	2784.0	0.0	2414.0	7249.0	armcore	['&b -d', '&syn2']	&b	0.009000000000000341
19	19	['&if -W 300 -x -K 6', '&syn2', '&b']	20.88	4.595(23%)	16.285(77%)	23.0	7279.0	0.0	7279.0	2784.0	0.0	2414.0	7245.0	armcore	['&if -W 300 -x -K 6', '&syn2']	&b	-0.7289999999999992
20	20	['&if -W 300 -g -K 6', '&syn2', '&b']	24.480999999999998	5.215(22%)	19.266(78%)	22.0	7320.0	0.0	7320.0	2784.0	0.0	2414.0	7271.0	armcore	['&if -W 300 -g -K 6', '&syn2']	&b	-0.6039999999999992
21	21	['&if -W 300 -y -K 6', '&syn2', '&b']	23.75	5.215(22%)	18.535(78%)	22.0	7317.0	0.0	7317.0	2784.0	0.0	2414.0	7271.0	armcore	['&if -W 300 -y -K 6', '&syn2']	&b	-0.0799999999999983
22	22	['&synch2', '&syn2', '&b']	20.648000000000003	4.640(23%)	16.008(77%)	23.0	7306.0	0.0	7306.0	2784.0	0.0	2414.0	7244.0	armcore	['&synch2', '&syn2']	&b	0.0
23	23	['&dch', '&syn2', '&b']	23.985	5.091(22%)	18.894(78%)	22.0	7313.0	0.0	7313.0	2784.0	0.0	2414.0	7266.0	armcore	['&dch', '&syn2']	&b	-1.676999999999996
24	24	['&dch -f', '&syn2', '&b']	20.721	4.471(22%)	16.250(78%)	22.0	7240.0	0.0	7240.0	2784.0	0.0	2414.0	7194.0	armcore	['&dch -f', '&syn2']	&b	-0.1319999999999979
25	25	['&b', '&if -W 300 -x -K 6']	20.085	4.347(22%)	15.738(78%)	22.0	7281.0	0.0	7281.0	2784.0	0.0	2414.0	7228.0	armcore	['&b']	&if -W 300 -x -K 6	4.5269999999999975
26	26	['&if -W 300 -K 6 -v', '&mfs', '&st', '&syn2', '&b']	23.166	5.091(22%)	18.075(78%)	22.0	7242.0	0.0	7242.0	2784.0	0.0	2414.0	7169.0	armcore	['&if -W 300 -K 6 -v', '&mfs', '&st', '&syn2']	&b	-0.006999999999997897
27	27	['&if -W 300 -K 6 -v', '&st', '&syn2', '&b']	23.999000000000002	5.215(22%)	18.784(78%)	22.0	7282.0	0.0	7282.0	2784.0	0.0	2414.0	7224.0	armcore	['&if -W 300 -K 6 -v', '&st', '&syn2']	&b	0.0
